Prefix:  ctg(ln(x+5))
Postfix: x 5 + ln ctg 
x=-9.695877, y=0.000000
x=-9.694877, y=0.000000
x=-9.693876, y=0.000000
x=-9.692876, y=0.000000
x=-9.691875, y=0.000000
x=-9.690875, y=0.000000
x=-9.689875, y=0.000000
x=-9.688874, y=0.000000
x=-9.687874, y=0.000000
x=-9.686873, y=0.000000
x=-9.685873, y=0.000000
x=-9.684873, y=0.000000
x=-9.683872, y=0.000000
x=-9.682872, y=0.000000
x=-9.681871, y=0.000000
x=-9.680871, y=0.000000
x=-9.679871, y=0.000000
x=-9.678870, y=0.000000
x=-9.677870, y=0.000000
x=-9.676869, y=0.000000
x=-9.675869, y=0.000000
x=-9.674869, y=0.000000
x=-9.673868, y=0.000000
x=-9.672868, y=0.000000
x=-9.671867, y=0.000000
x=-9.670867, y=0.000000
x=-9.669867, y=0.000000
x=-9.668866, y=0.000000
x=-9.667866, y=0.000000
x=-9.666865, y=0.000000
x=-9.665865, y=0.000000
x=-9.664865, y=0.000000
x=-9.663864, y=0.000000
x=-9.662864, y=0.000000
x=-9.661863, y=0.000000
x=-9.660863, y=0.000000
x=-9.659863, y=0.000000
x=-9.658862, y=0.000000
x=-9.657862, y=0.000000
x=-9.656861, y=0.000000
x=-9.655861, y=0.000000
x=-9.654860, y=0.000000
x=-9.653860, y=0.000000
x=-9.652860, y=0.000000
x=-9.651859, y=0.000000
x=-9.650859, y=0.000000
x=-9.649858, y=0.000000
x=-9.648858, y=0.000000
x=-9.647858, y=0.000000
x=-9.646857, y=0.000000
x=-9.645857, y=0.000000
x=-9.644856, y=0.000000
x=-9.643856, y=0.000000
x=-9.642856, y=0.000000
x=-9.641855, y=0.000000
x=-9.640855, y=0.000000
x=-9.639854, y=0.000000
x=-9.638854, y=0.000000
x=-9.637854, y=0.000000
x=-9.636853, y=0.000000
x=-9.635853, y=0.000000
x=-9.634852, y=0.000000
x=-9.633852, y=0.000000
x=-9.632852, y=0.000000
x=-9.631851, y=0.000000
x=-9.630851, y=0.000000
x=-9.629850, y=0.000000
x=-9.628850, y=0.000000
x=-9.627850, y=0.000000
x=-9.626849, y=0.000000
x=-9.625849, y=0.000000
x=-9.624848, y=0.000000
x=-9.623848, y=0.000000
x=-9.622848, y=0.000000
x=-9.621847, y=0.000000
