worker	project_id	task_id	resolution_type	start_ts	end_ts
login1	1	task_46	resolution_1	1575986673	1575987615
login1	1	task_47	resolution_1	1576077091	1576077818
login1	1	task_48	resolution_1	1576076718	1576077089
login1	1	task_49	resolution_1	1576687004	1576687400
login1	1	task_50	resolution_1	1576077821	1576078542
login1	1	task_51	resolution_2	1575733661	1575733813
login1	2	task_52	resolution_2	1576768256	1576768276
login1	2	task_53	resolution_1	1575822872	1575823325
login1	2	task_54	resolution_1	1576687879	1576688635
login1	1	task_55	resolution_2	1575307620	1575307636
login1	1	task_56	resolution_1	1575653970	1575654810
login1	2	task_57	resolution_1	1576075176	1576075684
login1	1	task_58	resolution_1	1575391796	1575393358
login1	1	task_59	resolution_1	1575389193	1575390537
login1	1	task_60	resolution_1	1576594246	1576594601
login1	1	task_61	resolution_1	1575386059	1575387308
login1	2	task_62	resolution_1	1575311975	1575312593
login1	2	task_63	resolution_1	1576846990	1576848191
login1	1	task_64	resolution_1	1575996194	1575996982
login1	1	task_65	resolution_1	1575303233	1575304045
login1	1	task_66	resolution_1	1576407172	1576408109
login1	1	task_67	resolution_1	1575385524	1575385905
login1	1	task_68	resolution_1	1576851049	1576851293
login1	1	task_69	resolution_1	1576176308	1576177908
login1	1	task_70	resolution_1	1576406668	1576407168
login1	1	task_71	resolution_1	1575995568	1575996191
login1	1	task_72	resolution_1	1576764598	1576765659
login1	1	task_73	resolution_1	1576403993	1576406333
login1	2	task_74	resolution_1	1576765911	1576766408
login1	1	task_75	resolution_2	1576408113	1576408564
login1	1	task_76	resolution_1	1576408568	1576408762
login1	1	task_77	resolution_1	1575983188	1575986122
login1	1	task_78	resolution_1	1576864156	1576865060
login1	1	task_79	resolution_1	1576854507	1576855278
login1	2	task_80	resolution_2	1575990703	1575990789
login1	1	task_81	resolution_2	1575224004	1575224065
login1	1	task_82	resolution_1	1575221621	1575221871
login1	1	task_83	resolution_1	1576164102	1576164771
login1	1	task_84	resolution_1	1576863805	1576864151
login1	1	task_85	resolution_1	1576406337	1576406664
login1	2	task_86	resolution_1	1576833669	1576834583
login1	2	task_87	resolution_1	1576860290	1576860792
login1	1	task_88	resolution_1	1575385417	1575385523
login1	2	task_89	resolution_1	1576408774	1576409199
login1	2	task_90	resolution_1	1575644241	1575645724
login1	1	task_91	resolution_1	1575391183	1575391793
login1	2	task_92	resolution_1	1576845238	1576845943
login1	2	task_93	resolution_1	1576159152	1576159939
login1	1	task_94	resolution_1	1575224699	1575225528
login1	1	task_95	resolution_1	1575385020	1575385415
login1	2	task_96	resolution_1	1575212820	1575213099
login1	1	task_97	resolution_1	1576086099	1576086983
login1	1	task_98	resolution_1	1575390924	1575391141
login1	2	task_99	resolution_1	1576837118	1576837971
login1	1	task_100	resolution_1	1575387311	1575387806
login1	2	task_101	resolution_2	1575993405	1575993452
login1	1	task_102	resolution_1	1575388123	1575388433
login1	1	task_103	resolution_1	1576260670	1576261715
login1	1	task_104	resolution_1	1575832271	1575832903
login1	1	task_105	resolution_2	1576260646	1576260667
login1	1	task_106	resolution_1	1576164775	1576165561
login1	2	task_107	resolution_1	1576259420	1576260443
login1	2	task_108	resolution_1	1576698065	1576698439
login1	1	task_109	resolution_1	1576695425	1576697545
login1	1	task_110	resolution_1	1575385907	1575386056
login1	2	task_111	resolution_1	1575646856	1575649107
login1	2	task_112	resolution_1	1576259165	1576259416
login1	2	task_113	resolution_2	1576848865	1576848921
login1	1	task_114	resolution_1	1576698453	1576699081
